corp_name,corp_uid,original_name,lat,lng,location,nace_code,postcode,street,nh3_yeartotal,nh3_2015,has_local_subsidies,has_subsidies,local_subsidies,total_subsidies
Ulrich Holle,945b0686-14c4-4aac-8604-904645abc9cd,"Holle, Ulrich",51.9165045142031,7.45189178253379,Senden,146.0,48308,Kley 19,23200.0,11900.0,1,1,22426.68,22426.68
Kummerower Schweineproduktion GmbH & Co. KG,0d4f7761-b5a4-403a-b552-c5c1a0587015,Schweinemastanlage Kummerow,53.765777555530214,12.834787439221401,Kummerow,146.0,17139,Dorfstraße 69,69800.0,13900.0,0,0,0.0,0.0
Stödtener Qualitätsschweine GmbH,14e4a735-f87e-415c-ae50-4235318d0f3b,Stödtener Qualitätsschweine / SMA Stödten,51.1874381264388,11.174766124095699,Sömmerda,146.0,99610,Friedensstr. 1a,133400.0,26800.0,0,0,0.0,0.0
Hederslebener Zucht- u. Mastbetrieb GmbH & Co.KG,270f2688-37d4-49b9-ac6b-7f5fb0f7894d,Hederslebener Zucht- u. Mastbetrieb GmbH & Co.KG,51.8544558029051,11.261766615372698,Hedersleben,146.0,06458,Schadelebener Weg None,37200.0,12700.0,0,0,0.0,0.0
Eistrup Heinrich,11ee497f-d442-4f24-ab4c-d5c65e86dd35,Eistrup Heinrich,52.3911747316936,7.15720099064296,Engden,146.0,48465,Nordhorner Str. 1,42000.0,10500.0,1,1,31933.83,31933.83
"Geflügelhof Schwanheide GmbH, Hauptstr. 8, 48496 Hopsten-Halverde",9ba8eaec-5afe-4828-b765-c948871698d1,Geflügelhof Schwanheide GmbH Legehennenanlage Leckwitz,51.345249485207795,13.183732027333301,Liebschützberg,147.0,04758,Am Wasserturm 3,30900.0,10300.0,0,0,0.0,0.0
Thomas Schulze Temming,a10aeb56-d3f6-4048-95c0-8f40dba736e9,"Schulze Temming, Thomas",52.007282359751905,7.39983393836192,Billerbeck,146.0,48727,Temming 1,81100.0,18600.0,0,0,0.0,0.0
Heinrich Thiermann,d783f1e3-3e11-4307-a074-a067f5c82b93,Thiermann Gartenbau GmbH Heinrich Tiermann,52.5891992388607,8.80378052106024,Kirchdorf,146.0,27245,Scharringhausen 23,65200.0,11300.0,1,1,698505.39,698505.39
Falk Voß-Hagen,3debe774-1962-4cb8-a0cd-011b8d23db25,Fehmarn-Hof Schweinehaltungs-KG,54.4874631428641,11.059347675281801,Fehmarn,146.0,23769,Schlagsdorfer Straße None,28000.0,14000.0,1,1,288869.43,288869.43
Drentweder Porc GmbH,7fc42412-bbc6-40f1-874d-a2143e57db71,Drentweder Porc GmbH,52.737691490636905,8.53479307841551,Drentwede,146.0,49406,Diekhaus None,53200.0,13300.0,0,0,0.0,0.0
Landboden Wolde GmbH & Co. LandwirtschaftsKG,97ed6b63-cedc-4fce-9c91-008be17b06d9,Hähnchenmastanlage Wolde I,53.6820504320885,13.0808802522543,Wolde,147.0,17091,Stavenhagener Straße 12,27400.0,27400.0,1,1,516767.69,516767.69
Frank Ehlers,69d9f800-0ecc-46c6-b164-8daabfa7365f,Frank Ehlers,52.7671271467746,8.62721635539708,Twistringen,146.0,27239,Borwede None,67000.0,17800.0,1,1,79678.44,79678.44
Meierjohann Friedrich,376af10d-9bec-4842-ae74-89bc6c2f0cbc,Meierjohann Friedrich,52.02116576866681,8.962429771809312,Lemgo,146.0,32657,Am Brink 54,44800.0,10600.0,1,1,54968.23,54968.23
Sauenzuchtanlage Parkentin,7fa9ec75-0395-46e6-af74-ab30cd992f5e,Sauenzuchtanlage Parkentin Sauenzuchtanlage Parkentin,54.0877707067819,11.980618927676401,Bartenshagen-Parkentin,146.0,18209,Am Stegebach 34a,85500.0,16600.0,0,0,0.0,0.0
Johannes Geiger,28e606b6-3580-47cd-8295-cf6c36c8cbf3,Schweinemastanlage Domänenstrasse / Völlen,53.1013003356044,7.467415779280349,Westoverledingen,146.0,26810,Domänenstrasse 3,66800.0,14400.0,0,0,0.0,0.0
Agrar GmbH Langengrassau,38309d1f-e4d1-4fed-937a-2113b4d3a5e1,Agrar GmbH Langengrassau,51.8275898405002,13.6346149885446,Heideblick,146.0,15926,Luckauer Str. 61b,35100.0,14100.0,1,1,3293614.5700000003,3293614.5700000003
"Götting, Hans",03e0a342-a13f-44f7-9ce4-143b0730f83f,"Götting, Hans",52.7214800974162,7.746639139042831,Löningen,146.0,49624,Angelbecker Straße 28,68600.0,14500.0,1,1,113552.31,113552.31
Schweinezucht Pappendorf GmbH & Co. KG,d15c4946-a37f-4a26-9463-eb4933f62599,Schweinezucht Pappendorf GmbH & Co. KG,50.992589404123294,13.1970373460555,Striegistal,146.0,09661,Mühlstrasse 12,59800.0,13100.0,0,0,0.0,0.0
"Plate, Maik",915ed885-9ada-4964-8557-9374f551f67e,"Plate, Maik",52.83444255672161,8.45900433410636,Wildeshausen,146.0,27793,Garmhausen Haus 3,33900.0,11300.0,1,1,80533.01,80533.01
Hagemann Dienste GmbH,70db3be2-dc2b-4f19-9fe2-0ca608c8def8,Hagemann Dienste GmbH,53.12366355649079,12.1102908395934,Groß Pankow (Prignitz),146.0,16928,Kuhsdorf 102,89600.0,21300.0,1,1,200329.16,200329.16
"Limbeck, Gerd",45f1fe5a-36cf-484c-94ec-220c50cc3cbd,Limbeck GbR Gerd,52.3574068844506,7.1994765108584415,Engden,147.0,48465,Schüttorfer Straße 17,51400.0,10300.0,1,1,13252.2,13252.2
